imdb_id,nota_letterboxd,avaliacoes_letterboxd,diretor,url_letterboxd
tt33701992,3.45,7305,Herwin Novianto,https://letterboxd.com/film/2nd-miracle-in-cell-no-7/
tt3685624,2.65,2848,Carlos Bolado,https://letterboxd.com/film/3-idiotas/
tt0094137,3.19,53170,Leonard Nimoy,https://letterboxd.com/film/3-men-and-a-baby/
tt0098966,2.89,20919,Emile Ardolino,https://letterboxd.com/film/3-men-and-a-little-lady/
tt0103596,2.86,22330,Jon Turteltaub,https://letterboxd.com/film/3-ninjas/
tt15715020,3.11,403,Silvio Soldini,https://letterboxd.com/film/3-19-2021/
tt1320304,1.92,10419,Ben Ketai,https://letterboxd.com/film/30-days-of-night-dark-days/
tt15977950,2.73,2980,Adrián Suar,https://letterboxd.com/film/30-nights-with-my-ex/
tt0416449,3.45,669077,Zack Snyder,https://letterboxd.com/film/300/
tt0233142,2.79,18179,Demian Lichtenstein,https://letterboxd.com/film/3000-miles-to-graceland/
tt1253863,2.51,143988,Noam Murro,https://letterboxd.com/film/300-rise-of-an-empire/
tt1319695,3.84,6372,"Pedro Peirano, Álvaro Díaz González",https://letterboxd.com/film/31-minutes-the-movie/
tt38774646,3.65,7260,"Pedro Peirano, Álvaro Díaz González",https://letterboxd.com/film/31-minutes-one-hot-christmas/
tt39261166,3.41,742,Jan Czarlewski,https://letterboxd.com/film/33-photos-from-the-ghetto-2025/
tt0390808,3.46,11026,Olivier Marchal,https://letterboxd.com/film/36th-precinct/
tt10886166,1.18,237720,"Barbara Białowąs, Tomasz Mandes",https://letterboxd.com/film/365-days-2020/
tt12996154,1.16,64630,"Barbara Białowąs, Tomasz Mandes",https://letterboxd.com/film/365-days-this-day/
tt6156138,3.71,9987,Hikari,https://letterboxd.com/film/37-seconds/
tt34605805,2.57,2809,Tunç Sahin,https://letterboxd.com/film/love-in-39-degrees/
tt0381849,3.79,207447,James Mangold,https://letterboxd.com/film/310-to-yuma-2007/
tt16578440,3.14,2986,Puttipong Nakthong,https://letterboxd.com/film/4-kings-2021/
tt30195433,3.33,2279,Puttipong Nakthong,https://letterboxd.com/film/4-kings-ii/
tt8242160,2.91,2258,Gerardo Olivares,https://letterboxd.com/film/4l/
tt0118540,4,6443,Spike Lee,https://letterboxd.com/film/4-little-girls/
tt14247286,2.94,5881,Alessio Maria Federici,https://letterboxd.com/film/four-to-dinner/
tt29634843,3.26,18166,R.T. Thorne,https://letterboxd.com/film/40-acres/
tt1781755,2.88,1288,Caco Souza,https://letterboxd.com/film/400-against-1-a-history-of-organized-crime/
